date,open,high,low,close,volume,turnover,code,name
18/08/2022,7705.88,7730.8,7663.61,7663.61,27902678,1396477911,TMTI,المواد الأساسية
17/08/2022,7710.49,7744.31,7676.21,7704.6,29389952,1435165255,TMTI,المواد الأساسية
16/08/2022,7701.92,7832.43,7683.29,7705.22,40345740,2374693362,TMTI,المواد الأساسية
15/08/2022,7542.73,7731.16,7509.3,7700.66,40090135,2331854447,TMTI,المواد الأساسية
14/08/2022,7556.89,7586.87,7524.56,7538.57,31070816,1298536032,TMTI,المواد الأساسية
11/8/2022,7415.03,7531.53,7407.34,7529.75,41949847,2116101148,TMTI,المواد الأساسية
10/8/2022,7325.66,7397.56,7291.1,7378.36,36430448,1480372593,TMTI,المواد الأساسية
9/8/2022,7288.33,7321.19,7254.75,7321.15,35384204,1671067743,TMTI,المواد الأساسية
8/8/2022,7225.61,7240.29,7172.37,7236.81,28019254,1501308632,TMTI,المواد الأساسية
7/8/2022,7226.37,7234.44,7163.98,7187.58,30796165,1791236318,TMTI,المواد الأساسية
